@relation 'processed-weka.filters.unsupervised.attribute.Remove-R1-28,56-61-weka.filters.unsupervised.attribute.Remove-R17,20-25-weka.filters.unsupervised.attribute.Remove-R3-6,14'

@attribute stress_level_bin {Low,Moderate,High}
@attribute 'daily_screen_time_hours (Normalized)' numeric
@attribute 'social_media_hours (Normalized)' numeric
@attribute 'work_related_hours (Normalized)' numeric
@attribute 'entertainment_hours (Normalized)' numeric
@attribute 'gaming_hours (Normalized)' numeric
@attribute 'sleep_duration_hours (Normalized)' numeric
@attribute 'sleep_quality (Normalized)' numeric
@attribute 'mood_rating (Normalized)' numeric
@attribute 'physical_activity_hours_per_week (Normalized)' numeric
@attribute 'mental_health_score (Normalized)' numeric
@attribute 'weekly_anxiety_score (Normalized)' numeric
@attribute 'mindfulness_minutes_per_day (Normalized)' numeric
@attribute 'uses_wellness_apps (Encoded)' numeric
@attribute 'eats_healthy (Encoded)' numeric

@data
Low,0.455556,0.333333,0.421053,0.769231,0.710526,0.611111,0.75,0.788889,0.262712,0.652174,0.238095,0.462162,1,1
Low,0.366667,0.285714,0.394737,0.641026,0.684211,0.638889,1,0.844444,0.525424,0.869565,0,0.481081,0,1
Moderate,0.3,0.785714,0.815789,0.487179,0.342105,0.444444,1,0.444444,0.144068,0.362319,0.380952,0.232432,0,0
Low,0.222222,0.166667,0.210526,0.692308,0.657895,0.638889,0.75,0.844444,0.330508,0.57971,0.047619,0.343243,1,1
Moderate,0.655556,0.642857,0.736842,0.410256,0.394737,0.75,0.5,0.433333,0,0.434783,0.047619,0.47027,0,1
Low,0.388889,0.357143,0.368421,0.74359,0.552632,0.666667,0.75,0.788889,0.228814,0.695652,0,0.613514,1,0
High,0.722222,1,0.868421,0.205128,0.236842,0.861111,0.5,0,0.008475,0.15942,0.761905,0.091892,0,1
Moderate,0.344444,0.547619,0.763158,0.461538,0.473684,0.611111,0.75,0.5,0.101695,0.521739,0.142857,0.675676,1,0
Low,0.122222,0.309524,0.394737,0.769231,0.552632,0.722222,1,0.933333,0.415254,0.73913,0.095238,0.818919,0,0
High,0.5,1,0.710526,0.025641,0.315789,0.472222,0.75,0,0.067797,0.173913,0.571429,0.264865,0,0
Low,0.588889,0.333333,0.473684,0.641026,0.605263,0.555556,0.75,0.788889,0.364407,0.695652,0,0.591892,1,0
Moderate,0.588889,0.714286,0.710526,0.589744,0.631579,0.388889,0.75,0.522222,0.364407,0.57971,0.428571,0.494595,1,1
High,0.588889,0.952381,0.921053,0.564103,0.473684,0.638889,0.75,0,0.084746,0.304348,0.47619,0.424324,0,1
High,0.644444,1,0.842105,0.282051,0.315789,0.388889,0.75,0,0.042373,0.26087,0.428571,0.235135,0,0
High,0.266667,0.904762,0.894737,0.358974,0.078947,0.833333,1,0.3,0,0.376812,0.52381,0.354054,0,1
Moderate,0.144444,0.714286,0.710526,0.487179,0.447368,0.444444,0.75,0.422222,0.677966,0.637681,0.428571,0.591892,1,1
Moderate,0.444444,0.571429,0.684211,0.358974,0.605263,0.527778,0.75,0.644444,0.508475,0.521739,0.333333,0.527027,1,1
Low,0.188889,0.071429,0.184211,0.717949,0.473684,0.583333,1,0.988889,0.40678,0.797101,0.142857,0.910811,1,1
Moderate,0.266667,0.714286,0.842105,0.461538,0.447368,0.444444,0.75,0.544444,0.118644,0.536232,0.380952,0.608108,0,0
High,0.666667,0.857143,0.842105,0.615385,0.394737,0.5,0.75,0.366667,0.271186,0.550725,0.333333,0.337838,1,1
Moderate,0.522222,0.690476,0.789474,0.461538,0.421053,0.444444,0.5,0.433333,0.415254,0.608696,0.190476,0.321622,0,1
High,0.877778,1,0.868421,0.282051,0.342105,0.611111,0.75,0.144444,0.059322,0.231884,0.952381,0.135135,0,0
High,0.5,1,0.789474,0.307692,0.236842,0.416667,0.5,0.055556,0,0.188406,0.666667,0.027027,1,1
Moderate,0.522222,0.595238,0.815789,0.282051,0.421053,0.583333,0.75,0.455556,0.584746,0.57971,0.47619,0.659459,0,1
High,0.9,0.928571,0.710526,0.333333,0.289474,0.388889,0.75,0.2,0.059322,0.362319,0.47619,0.224324,0,0
High,0.444444,1,0.868421,0.333333,0.236842,0.527778,0.75,0.077778,0.186441,0.304348,0.666667,0.197297,0,0
Moderate,0.066667,0.714286,0.657895,0.487179,0.342105,0.666667,0.75,0.477778,0.59322,0.536232,0.380952,0.586486,0,1
High,0.433333,0.928571,0.842105,0.230769,0.131579,0.638889,0.75,0.188889,0.135593,0.463768,0.47619,0.154054,1,1
High,0.944444,1,0.842105,0.282051,0.184211,0.138889,0.5,0,0,0.188406,0.571429,0.245946,0,0
Moderate,0.266667,0.809524,0.789474,0.538462,0.210526,0.611111,1,0.088889,0,0.42029,0.333333,0.191892,0,0
Low,0.244444,0.261905,0.447368,0.641026,0.684211,0.5,0.75,0.744444,0.533898,0.681159,0.095238,0.294595,1,0
Moderate,0.333333,0.785714,0.815789,0.051282,0.236842,0.472222,1,0.444444,0.144068,0.550725,0.285714,0.454054,1,1
High,0.511111,1,0.894737,0.179487,0.421053,0.555556,0.75,0,0,0.304348,0.47619,0.108108,1,0
Moderate,0.455556,0.571429,0.736842,0.410256,0.447368,0.694444,0.75,0.522222,0.5,0.73913,0.285714,0.375676,1,1
High,1,1,0.710526,0.179487,0.315789,0.583333,0.5,0,0,0.231884,1,0.121622,0,1
Moderate,0.188889,0.833333,0.894737,0.25641,0.263158,0.555556,1,0.211111,0,0.275362,0.380952,0.316216,0,0
Low,0.377778,0.571429,0.552632,0.512821,0.605263,0.194444,0.75,0.655556,0.322034,0.623188,0.47619,0.232432,1,0
High,0.677778,0.857143,0.842105,0.564103,0.289474,0.5,0.5,0.166667,0.220339,0.362319,0.380952,0.1,1,1
Moderate,0.388889,0.690476,0.868421,0.179487,0.447368,0.333333,0.75,0.244444,0.20339,0.449275,0.619048,0.310811,0,1
Low,0.355556,0.309524,0.473684,0.615385,0.763158,0.638889,0.75,1,0.618644,0.884058,0.095238,0.281081,1,0
Low,0.188889,0.071429,0.210526,0.641026,0.552632,0.5,1,1,0.423729,0.855072,0,0.418919,1,1
Moderate,0.311111,0.619048,0.631579,0.461538,0.578947,0.638889,0.75,0.5,0.220339,0.536232,0.333333,0.67027,0,0
High,0.277778,1,0.842105,0.512821,0.236842,0.472222,1,0.122222,0.008475,0.478261,0.619048,0.151351,0,1
High,0.3,0.952381,0.868421,0.410256,0.263158,0.444444,0.75,0,0.152542,0.405797,0.52381,0.481081,1,1
High,0.433333,1,0.815789,0.589744,0.447368,0.388889,0.75,0.244444,0,0.188406,0.666667,0.221622,0,1
Low,0.333333,0.404762,0.657895,0.461538,0.552632,0.638889,1,0.688889,0.262712,0.550725,0.285714,0.567568,0,1
High,0.766667,1,0.868421,0.589744,0.236842,0.25,0.5,0.133333,0.186441,0.26087,0.857143,0.140541,0,0
High,0.655556,1,0.868421,0.205128,0.447368,0.555556,0.75,0.033333,0.042373,0.26087,0.761905,0.005405,0,0
High,0.733333,1,0.921053,0.102564,0.105263,0.694444,0.75,0,0,0.057971,0.809524,0.121622,1,1
High,0.511111,1,0.736842,0.25641,0.315789,0.75,0.75,0.266667,0,0.304348,0.571429,0.294595,1,1
Low,0.277778,0.309524,0.342105,0.717949,0.526316,0.361111,0.75,0.588889,0.381356,0.608696,0.190476,0.351351,0,1
Low,0.044444,0.547619,0.631579,0.461538,0.5,0.472222,1,0.711111,0.516949,0.710145,0.047619,0.783784,1,1
Moderate,0.722222,0.785714,0.815789,0.435897,0.368421,0.527778,0.25,0.333333,0.067797,0.376812,0.428571,0.2,0,0
Moderate,0.411111,0.857143,0.789474,0.461538,0.105263,0.416667,0.75,0.233333,0.338983,0.449275,0.333333,0.472973,1,1
Low,0.1,0.52381,0.605263,0.435897,0.763158,0.75,0.75,0.777778,0.381356,0.507246,0.238095,0.564865,1,1
Moderate,0.4,0.761905,0.842105,0.435897,0.447368,0.333333,0.75,0.455556,0.245763,0.478261,0.238095,0.167568,1,1
Low,0.266667,0.190476,0.131579,0.538462,0.789474,0.583333,0.75,1,0.423729,0.782609,0.142857,0.586486,1,0
High,0.622222,1,0.868421,0.307692,0.184211,0.638889,0.75,0.144444,0.050847,0.449275,0.238095,0.105405,0,1
Low,0.4,0.452381,0.631579,0.615385,0.394737,0.361111,0.75,0.633333,0.415254,0.652174,0.52381,0.421622,0,1
Low,0.233333,0.5,0.657895,0.615385,0.552632,0.611111,0.75,0.577778,0.398305,0.710145,0.428571,0.521622,0,1
High,0.711111,1,0.868421,0.205128,0.210526,0.472222,0.5,0,0,0.318841,0.761905,0.091892,0,0
Low,0.111111,0.190476,0.184211,0.615385,0.657895,0.722222,0.75,0.855556,0.466102,0.768116,0,0.437838,1,0
Moderate,0.111111,0.52381,0.631579,0.435897,0.605263,0.555556,1,0.288889,0.288136,0.710145,0.47619,0.42973,0,1
Moderate,0.455556,0.595238,0.657895,0.487179,0.421053,0.333333,0.75,0.444444,0.313559,0.652174,0.380952,0.52973,1,0
Low,0.222222,0.285714,0.394737,0.589744,0.684211,0.277778,0.75,0.666667,0.457627,0.73913,0.333333,0.82973,1,0
High,0.855556,1,0.842105,0.25641,0.289474,0.611111,0.5,0.044444,0.177966,0.463768,0.619048,0.213514,0,0
High,0.822222,1,0.815789,0.205128,0.473684,0.527778,0.5,0,0.025424,0.304348,0.52381,0.067568,1,0
High,0.366667,0.809524,0.815789,0.564103,0.131579,0.555556,0.75,0.211111,0.008475,0.42029,0.571429,0.483784,1,1
High,0.333333,0.880952,0.815789,0.333333,0.210526,0.583333,0.75,0.211111,0.084746,0.405797,0.47619,0.156757,0,0
High,0.688889,1,0.736842,0.282051,0.184211,0.527778,0.5,0,0,0.15942,0.380952,0.067568,0,1
Low,0.233333,0.380952,0.421053,0.794872,0.868421,0.75,1,0.622222,0.559322,0.753623,0.238095,0.291892,1,1
Low,0.2,0.452381,0.552632,0.487179,0.210526,0.361111,0.75,0.588889,0.601695,0.710145,0.142857,0.589189,0,1
High,0.533333,1,0.894737,0.487179,0.342105,0.277778,0.5,0.111111,0.144068,0.246377,0.761905,0.075676,0,1
Low,0.311111,0.452381,0.631579,0.25641,0.605263,0.305556,0.75,0.8,0.389831,0.623188,0,0.262162,1,1
High,0.5,0.952381,0.894737,0.333333,0.315789,0.472222,0.75,0.188889,0.194915,0.463768,0.571429,0.421622,0,0
High,0.577778,1,0.921053,0.435897,0.184211,0.527778,0.75,0,0,0.347826,0.619048,0.259459,0,1
High,0.633333,1,0.973684,0.076923,0.210526,0.611111,0.5,0,0.186441,0.231884,0.857143,0.235135,1,0
High,0.588889,1,0.815789,0.487179,0.315789,0.083333,0.75,0.155556,0.330508,0.347826,0.619048,0.267568,1,0
Moderate,0.033333,0.52381,0.736842,0.461538,0.473684,0.5,1,0.644444,0.432203,0.681159,0.380952,0.316216,0,1
High,0.566667,1,0.842105,0.435897,0.184211,0.527778,0.75,0,0.144068,0.391304,0.904762,0.264865,0,0
Low,0.188889,0.380952,0.421053,0.487179,0.657895,0.666667,1,0.9,0.279661,0.594203,0.095238,0.551351,0,1
Moderate,0.377778,0.738095,0.710526,0.435897,0.421053,0.555556,1,0.411111,0.194915,0.550725,0.428571,0.394595,0,0
Moderate,0.222222,0.642857,0.736842,0.358974,0.447368,0.472222,1,0.388889,0.228814,0.521739,0.285714,0.240541,1,0
High,0.722222,1,0.947368,0.333333,0.368421,0.361111,0.5,0,0,0.289855,0.952381,0.202703,0,1
High,0.733333,1,0.842105,0.153846,0.157895,0.416667,0.5,0,0,0.550725,0.666667,0.235135,0,0
Low,0.366667,0.547619,0.526316,0.487179,0.5,0.333333,0.75,0.644444,0.177966,0.463768,0.380952,0.459459,0,0
High,0.744444,1,0.815789,0.333333,0.131579,0.333333,0.75,0,0,0.362319,0.619048,0.056757,1,1
Low,0.422222,0.285714,0.421053,0.666667,0.684211,0.361111,1,0.944444,0.440678,0.666667,0.047619,0.313514,1,1
High,0.833333,1,0.789474,0.282051,0.131579,0.5,0.75,0,0.110169,0.362319,0.619048,0.032432,0,0
Low,0.544444,0.333333,0.473684,0.666667,0.552632,0.388889,1,0.722222,0.372881,0.73913,0,0.445946,1,0
Low,0.455556,0.119048,0.131579,0.794872,0.657895,0.361111,0.75,0.944444,0.381356,0.73913,0.047619,0.843243,1,0
High,0.433333,1,0.868421,0.153846,0.315789,0.5,0.75,0.011111,0,0.231884,0.952381,0.248649,0,0
High,0.544444,1,0.763158,0.230769,0.210526,0.638889,0.75,0,0.101695,0.246377,0.714286,0.286486,0,0
Low,0.233333,0.5,0.552632,0.461538,0.421053,0.611111,1,0.666667,0.525424,0.710145,0.095238,0.435135,0,1
High,1,1,0.789474,0.025641,0.342105,0.555556,0.5,0,0.118644,0.217391,0.952381,0.17027,1,0
High,0.611111,1,0.921053,0.230769,0.315789,0.638889,0.5,0.033333,0.042373,0.347826,0.52381,0.037838,0,1
High,0.333333,0.952381,0.815789,0.384615,0.078947,0.472222,0.75,0.222222,0.016949,0.347826,0.571429,0.408108,0,0
Low,0.2,0.47619,0.631579,0.512821,0.526316,0.638889,1,0.555556,0.754237,0.826087,0.095238,0.621622,0,0
Moderate,0.133333,0.714286,0.868421,0.205128,0.421053,0.805556,1,0.444444,0.220339,0.521739,0.47619,0.386486,1,0
High,0.5,1,0.815789,0.230769,0.342105,0.472222,0.75,0,0.059322,0.347826,1,0.205405,0,1
Moderate,0.3,0.642857,0.710526,0.384615,0.421053,0.611111,1,0.755556,0,0.376812,0.285714,0.583784,0,0
Moderate,0.433333,0.785714,0.789474,0.487179,0.526316,0.416667,0.75,0.133333,0.381356,0.463768,0.52381,0.545946,1,1
Moderate,0.211111,0.833333,0.736842,0.410256,0.315789,0.583333,0.75,0.3,0.271186,0.449275,0.52381,0.348649,1,1
High,0.388889,1,0.868421,0.307692,0.394737,0.527778,0.75,0,0,0.217391,0.619048,0.291892,0,1
High,0.455556,1,0.815789,0.384615,0.236842,0.638889,0.75,0,0,0.42029,0.190476,0.227027,1,0
High,0.3,1,0.789474,0.179487,0.394737,0.527778,0.5,0,0,0.318841,0.52381,0.191892,0,1
Moderate,0.211111,0.738095,0.552632,0.435897,0.368421,0.638889,0.75,0.433333,0.440678,0.695652,0.619048,0.216216,1,1
Moderate,0.366667,0.52381,0.710526,0.487179,0.578947,0.611111,0.5,0.477778,0.245763,0.405797,0.47619,0.364865,0,0
Low,0.055556,0.285714,0.447368,0.615385,0.605263,0.555556,1,0.733333,0.415254,0.724638,0.095238,0.375676,0,0
Moderate,0.644444,0.547619,0.736842,0.410256,0.473684,0.416667,0.75,0.644444,0.322034,0.550725,0.333333,0.232432,1,0
Low,0.277778,0.333333,0.5,0.769231,0.605263,0.666667,0.75,0.433333,0.127119,0.594203,0,0.581081,0,1
Low,0.244444,0.142857,0.157895,0.666667,0.710526,0.861111,1,1,0.70339,0.710145,0.142857,0.356757,1,1
Moderate,0.144444,0.571429,0.710526,0.333333,0.473684,0.472222,1,0.511111,0.186441,0.608696,0.52381,0.286486,0,0
Moderate,0.466667,0.666667,0.684211,0.410256,0.157895,0.611111,1,0.233333,0.584746,0.73913,0.380952,0.394595,1,1
Low,0.044444,0.071429,0.263158,0.794872,0.842105,0.833333,1,0.877778,0.59322,0.84058,0.047619,0.678378,1,0
High,0.6,1,0.710526,0.205128,0.131579,0.5,0.5,0,0.09322,0,0.619048,0.067568,1,1
High,0.577778,0.857143,0.815789,0.358974,0.421053,0.388889,0.5,0.222222,0,0.347826,0.714286,0.137838,0,0
Moderate,0.544444,0.619048,0.789474,0.487179,0.526316,0.527778,0.5,0.6,0.355932,0.565217,0.285714,0.613514,1,0
High,0.5,1,0.815789,0.358974,0.394737,0.388889,0.75,0.1,0.059322,0.347826,0.52381,0.264865,0,1
Moderate,0.344444,0.809524,0.736842,0.358974,0.236842,0.5,0.5,0.455556,0.161017,0.463768,0.285714,0.224324,0,0
Low,0.422222,0.52381,0.631579,0.589744,0.526316,0.611111,0.75,0.855556,0.177966,0.492754,0.238095,0.662162,0,1
Moderate,0.633333,0.833333,0.894737,0.358974,0.394737,0.472222,0.75,0.4,0.118644,0.434783,0.285714,0.216216,0,0
High,0.433333,1,0.973684,0.435897,0.131579,0.583333,0.75,0,0,0.333333,0.52381,0.17027,0,0
High,0.611111,1,0.815789,0.25641,0.184211,0.333333,0.5,0.033333,0,0.173913,0.809524,0.189189,0,1
Moderate,0.444444,0.666667,0.789474,0.487179,0.184211,0.444444,0.75,0.666667,0.288136,0.536232,0.380952,0.321622,1,1
Low,0.5,0.428571,0.657895,0.512821,0.657895,0.611111,0.5,0.588889,0.338983,0.695652,0.333333,0.362162,0,1
Low,0.177778,0.333333,0.473684,0.769231,0.605263,0.388889,0.75,0.766667,0.432203,0.768116,0.190476,0.627027,0,1
Moderate,0.011111,0.571429,0.736842,0.435897,0.552632,0.5,1,0.488889,0.559322,0.768116,0.428571,0.183784,0,0
High,0.855556,1,0.815789,0.384615,0.368421,0.388889,0.5,0.077778,0.271186,0.333333,0.666667,0.345946,0,0
Moderate,0.355556,0.642857,0.763158,0.461538,0.5,0.5,1,0.288889,0.20339,0.594203,0.380952,0.164865,1,0
Low,0.277778,0.071429,0.131579,0.692308,0.657895,0.722222,1,0.766667,0.432203,0.855072,0,0.945946,0,1
Moderate,0.477778,0.642857,0.631579,0.384615,0.315789,0.194444,1,0.533333,0,0.565217,0.333333,0.751351,0,0
Low,0.233333,0.357143,0.368421,0.564103,0.657895,0.611111,0.75,0.833333,0.508475,0.681159,0.047619,0.302703,0,1
High,0.755556,1,0.815789,0.128205,0.263158,0.638889,0.5,0,0.025424,0.202899,0.809524,0.151351,1,0
High,0.444444,1,0.921053,0,0.394737,0.583333,0.75,0,0,0.333333,0.857143,0.186486,0,0
Moderate,0.4,0.619048,0.736842,0.512821,0.473684,0.333333,0.75,0.622222,0.372881,0.695652,0.47619,0.640541,0,0
High,0.577778,1,0.842105,0.179487,0.394737,0.833333,0.75,0.011111,0.067797,0.231884,0.714286,0.013514,0,1
Moderate,0.677778,0.761905,0.789474,0.487179,0.447368,0.388889,0.75,0.355556,0.29661,0.550725,0.571429,0.286486,1,1
Low,0.366667,0.5,0.473684,0.435897,0.394737,0.222222,0.5,0.833333,0.525424,0.681159,0.142857,0.32973,0,0
Moderate,0.5,0.595238,0.684211,0.435897,0.263158,0.638889,0.5,0.311111,0.254237,0.449275,0.142857,0.689189,1,0
Moderate,0.455556,0.928571,0.815789,0.384615,0.184211,0.444444,1,0.288889,0.135593,0.536232,0.285714,0.581081,1,0
Low,0.377778,0.380952,0.552632,0.589744,0.526316,0.833333,0.75,0.522222,0.491525,0.623188,0.095238,0.67027,1,1
Low,0.522222,0.5,0.657895,0.641026,0.526316,0.638889,0.75,0.7,0.457627,0.565217,0.238095,0.594595,1,1
High,0.566667,1,0.868421,0.307692,0.184211,0.805556,0.75,0,0,0.188406,0.619048,0.121622,1,1
Moderate,0.566667,0.761905,0.710526,0.410256,0.526316,0.361111,0.75,0.466667,0.550847,0.608696,0.333333,0.286486,0,1
Low,0.455556,0.309524,0.368421,0.74359,0.684211,0.722222,0.5,0.711111,0.305085,0.594203,0.238095,0.356757,1,1
High,0.666667,0.880952,0.842105,0.538462,0.289474,0.361111,0.75,0.044444,0.161017,0.42029,0.47619,0.264865,0,0
Low,0.166667,0.166667,0.157895,0.769231,0.736842,0.694444,1,0.977778,0.661017,0.666667,0.047619,0.351351,1,0
High,0.377778,1,0.868421,0.358974,0.368421,0.583333,0.75,0,0.084746,0.173913,0.47619,0.102703,0,0
High,0.422222,1,0.815789,0.307692,0.236842,0.75,0.75,0.066667,0,0.217391,0.809524,0.186486,0,0
Moderate,0.422222,0.666667,0.868421,0.487179,0.447368,0.666667,1,0.366667,0.220339,0.536232,0.380952,0.613514,0,0
High,0.644444,1,0.947368,0.205128,0.105263,0.416667,0.75,0,0,0.318841,0.571429,0.148649,0,1
High,0.577778,1,0.842105,0.384615,0.236842,0.638889,0.75,0.244444,0.177966,0.492754,0.47619,0.256757,0,1
High,0.677778,1,0.894737,0.230769,0.394737,0.472222,0.75,0,0,0.26087,0.619048,0.051351,0,1
Moderate,0.5,0.809524,0.736842,0.384615,0.210526,0.638889,0.75,0.322222,0.186441,0.594203,0.238095,0.502703,0,0
High,0.722222,1,0.789474,0.25641,0.184211,0.5,0.75,0,0,0.130435,1,0.159459,0,1
Low,0.177778,0.119048,0.184211,0.666667,0.631579,0.583333,1,0.777778,0.338983,0.753623,0,0.967568,0,0
Moderate,0.3,0.595238,0.736842,0.435897,0.447368,0.416667,0.5,0.5,0.322034,0.623188,0.190476,0.548649,1,1
Low,0.488889,0.380952,0.473684,0.820513,0.631579,0.555556,0.75,0.822222,0.601695,0.57971,0.190476,0.635135,1,0
Moderate,0.311111,0.714286,0.763158,0.512821,0.447368,0.5,1,0.433333,0.542373,0.652174,0.285714,0.291892,0,1
Low,0.166667,0.5,0.657895,0.692308,0.684211,0.472222,0.75,0.488889,0.305085,0.594203,0.190476,0.581081,1,1
Low,0.5,0.452381,0.552632,0.461538,0.552632,0.638889,0.75,0.544444,0.338983,0.681159,0.333333,0.621622,1,0
Moderate,0.133333,0.904762,0.789474,0.410256,0.421053,0.555556,1,0.544444,0.09322,0.507246,0.619048,0.248649,1,0
High,0.688889,1,0.973684,0.25641,0.289474,0.222222,0.75,0,0,0.217391,0.666667,0.016216,0,0
Moderate,0.255556,0.595238,0.710526,0.461538,0.394737,0.611111,1,0.577778,0.237288,0.521739,0.285714,0.57027,0,1
Moderate,0.2,0.547619,0.763158,0.282051,0.578947,0.611111,0.75,0.611111,0.237288,0.57971,0.380952,0.459459,1,0
Low,0.488889,0.357143,0.421053,0.666667,0.605263,0.527778,0.75,0.933333,0.40678,0.652174,0.142857,0.489189,1,0
High,0.4,1,0.868421,0.358974,0.131579,0.555556,0.75,0,0.127119,0.492754,0.47619,0.324324,0,1
Moderate,0.477778,0.857143,0.868421,0.461538,0.394737,0.416667,0.75,0.322222,0.033898,0.376812,0.47619,0.467568,0,0
Low,0.111111,0.119048,0.078947,0.641026,0.789474,0.583333,1,0.844444,0.720339,0.826087,0.095238,0.489189,1,1
Moderate,0.544444,0.714286,0.842105,0.230769,0.421053,0.666667,0.75,0.5,0.084746,0.478261,0.285714,0.167568,0,1
High,0.677778,1,0.842105,0.25641,0.289474,0.611111,0.75,0,0,0.275362,1,0.056757,1,0
Low,0.344444,0.238095,0.184211,0.589744,0.684211,0.527778,1,0.977778,0.372881,0.797101,0,0.940541,1,0
Moderate,0.455556,0.642857,0.657895,0.564103,0.394737,0.638889,0.75,0.533333,0.754237,0.782609,0.285714,0.337838,1,1
Moderate,0.344444,0.738095,0.736842,0.307692,0.5,0.583333,0.75,0.455556,0.355932,0.550725,0.428571,0.216216,1,1
Moderate,0.488889,0.666667,0.684211,0.25641,0.315789,0.5,0.75,0.511111,0.084746,0.434783,0.238095,0.608108,0,0
Moderate,0.155556,0.571429,0.657895,0.435897,0.289474,0.805556,0.75,0.466667,0.932203,0.652174,0.142857,0.183784,1,1
Moderate,0.177778,0.5,0.710526,0.487179,0.552632,0.5,0.75,0.7,0.211864,0.536232,0.380952,0.643243,0,0
Low,0.233333,0.357143,0.447368,0.358974,0.631579,0.666667,0.75,1,0.313559,0.666667,0.047619,0.759459,0,1
High,0.688889,1,0.894737,0.333333,0.368421,0.222222,0.75,0.011111,0,0.318841,0.619048,0.154054,0,0
High,0.433333,1,0.842105,0.307692,0.289474,0.611111,0.75,0.322222,0.211864,0.507246,0.47619,0.294595,1,0
High,0.633333,1,0.921053,0.358974,0.342105,0.388889,0.75,0,0,0.333333,1,0.045946,1,0
High,0.633333,1,0.921053,0.205128,0.210526,0.444444,0.5,0.066667,0.042373,0.26087,0.666667,0.210811,0,0
High,0.888889,1,0.815789,0.128205,0.421053,0.361111,0.5,0,0,0,0.714286,0.145946,0,1
High,0.377778,1,0.657895,0.358974,0.157895,0.277778,0.75,0.177778,0.169492,0.347826,0.714286,0.121622,0,1
Low,0.211111,0.380952,0.447368,0.820513,0.447368,0.388889,0.75,0.911111,0.483051,0.710145,0.238095,0.737838,1,0
Low,0.288889,0.119048,0.157895,0.871795,0.631579,0.694444,1,0.744444,0.559322,0.811594,0,0.27027,0,1
High,0.488889,0.97619,0.763158,0.333333,0.236842,0.555556,0.75,0.144444,0,0.434783,0.333333,0.235135,0,0
High,0.4,1,0.921053,0.282051,0.394737,0.777778,0.75,0.133333,0,0.289855,0.571429,0.3,1,1
High,0.644444,1,0.842105,0.512821,0.210526,0.277778,0.75,0.166667,0.144068,0.347826,0.380952,0.286486,0,0
Low,0.166667,0.428571,0.552632,0.333333,0.5,0.75,1,0.688889,0.627119,0.724638,0.095238,0.556757,0,1
Moderate,0.433333,0.666667,0.894737,0.282051,0.394737,0.611111,0.75,0.288889,0.237288,0.608696,0.333333,0.632432,0,0
High,0.422222,1,0.842105,0.358974,0.131579,0.722222,0.75,0,0.008475,0.333333,0.428571,0.145946,0,1
High,0.588889,1,0.842105,0.282051,0.473684,0.472222,0.5,0,0.101695,0.304348,0.761905,0.340541,0,0
High,0.633333,0.880952,0.842105,0.333333,0.236842,0.5,0.5,0.244444,0.161017,0.362319,0.285714,0.181081,1,0
Low,0.022222,0.095238,0.078947,0.487179,0.789474,0.555556,1,0.866667,0.415254,0.768116,0.047619,0.608108,1,1
Low,0.477778,0.547619,0.552632,0.435897,0.578947,0.5,1,0.522222,0.415254,0.811594,0.095238,0.783784,1,1
High,0.455556,1,0.842105,0.358974,0.131579,0.472222,0.75,0,0.084746,0.318841,0.571429,0.205405,0,1
Moderate,0.755556,0.809524,0.894737,0.410256,0.315789,0.25,0.75,0.344444,0.169492,0.376812,0.238095,0.418919,0,0
High,0.588889,0.97619,0.815789,0.205128,0.236842,0.527778,0.5,0,0,0.362319,0.52381,0.324324,0,1
High,0.555556,0.952381,0.894737,0.461538,0.315789,0.638889,0.75,0.366667,0.152542,0.521739,0.238095,0.489189,0,0
High,0.355556,0.857143,0.868421,0.487179,0.421053,0.75,0.75,0.222222,0,0.318841,0.380952,0.178378,0,1
Low,0.411111,0.333333,0.421053,0.435897,0.736842,0.444444,1,0.9,0.466102,0.782609,0.285714,0.772973,0,1
Low,0.244444,0.357143,0.394737,0.589744,0.684211,0.611111,1,0.966667,0.635593,0.811594,0.095238,0.889189,0,0
High,0.566667,0.952381,0.763158,0.230769,0.210526,0.472222,1,0.177778,0.491525,0.391304,0.52381,0.097297,1,1
High,0.533333,1,1,0.487179,0.236842,0.722222,0.75,0,0,0.304348,0.714286,0.189189,0,1
High,0.677778,1,0.921053,0.282051,0.368421,0.722222,0.75,0,0,0.217391,0.904762,0.227027,1,0
High,0.855556,1,0.842105,0.307692,0.210526,0.25,0.75,0.211111,0,0.333333,0.666667,0.162162,0,0
High,0.455556,0.928571,0.815789,0.25641,0.289474,0.611111,0.75,0.122222,0.220339,0.507246,0.380952,0.291892,0,0
High,0.722222,0.857143,0.789474,0.333333,0.315789,0.527778,0.5,0.066667,0.169492,0.449275,0.571429,0.494595,1,0
High,0.322222,0.928571,0.763158,0.384615,0.131579,0.555556,0.75,0.177778,0.016949,0.202899,0.666667,0.313514,0,1
Moderate,0.433333,0.904762,0.789474,0.538462,0.289474,0.361111,1,0.422222,0,0.536232,0.380952,0.408108,0,0
Low,0,0.547619,0.578947,0.589744,0.578947,0.777778,1,0.566667,0.855932,0.695652,0.428571,0.694595,1,1
Low,0.244444,0.047619,0.236842,0.692308,0.657895,0.777778,1,0.8,0.516949,0.768116,0.095238,0.843243,0,1
High,0.777778,0.952381,0.842105,0.435897,0.421053,0.388889,0.5,0.144444,0.220339,0.376812,0.619048,0.416216,0,1
